乘隙 顺便
招摇 猖獗
心术不正 心术不端
排头兵 茅头兵
闺房 香闺
稀少 罕见
染病 生病
神采飞扬 高视阔步
衬托 陪衬
无所不为 靡所不为
虚亏 虚弱
调剂 调解
协力同心 同心同德
久而久之 长此以往
率性 肆意
大腹便便 满脑肥肠
叛变 哗变
入选 被选
平素 日常
河干 河边
完善 完美
存心 用意
吹捧 抬高
刁悍 强悍
腾跃 腾踊
停息 停顿
无家可归 离乡背井
乍然 猛然
无法无天 胡作非为
七窍冒火 七窍生烟
刮目相看 刮目相见
敏锐 灵敏
人世沧桑 今非昔比
宛转 悠扬
由衷 真心
失望 气馁
加入 进入
存候 问候
辨别 鉴识
私自 私行
康健 建壮
爱惜 爱护
傲然睥睨 居高临下
丢脸 出丑
妍媸 美丑
流落他乡 流落天涯
景况 景遇
枯萎 零落
依偎 倚靠
发上指冠 发怒冲冠
三妻四妾 妻妾成群
希世之宝 稀世珍宝
式样 状貌
掩耳盗铃 盗钟掩耳
完工 完成
脱离 脱节
卓着 卓越
晓畅 知道
乘隙而入 趁虚而入
手法 技巧
精深 精炼
丰富 雄厚
畏俱 胆寒
强横 蛮横
假造 虚拟
日暮途穷 穷途末日
假如 假若
漠然置之 置之度外
拘押 逮捕
浩饮 畅饮
戛玉敲金 戛玉锵金
干与 干预
先生 师长
提纲契领 言简意赅
拆除 捣毁
依靠 倚赖
拔苗助长 揠苗助长
令行禁止 雷厉风行
相差 进出
穷困 贫乏
践踏 踹踏
妥善 得当
水月镜花 镜花水月
改动 更正
倘使 若是
排除 清扫
短缺 缺少
撒手 放弃
含冤莫白 沉冤莫白
勤勤俭俭 艰苦朴素
军队 部队
叹为观止 赞叹不已
别有用心 包藏祸心
方子 药剂
拜访 探望
东施效颦 鹦鹉学舌
入迷 迷恋
丧权辱国 奴颜婢膝
乖巧 灵活
亲密 亲近
靡然乡风 靡然从风
旷日持久 经年累月
凋谢 失败
僧衣 法衣
撑持 支持
可疑 怀疑
举措 步骤
暴燥 躁急
规避 躲藏
争辩 吵闹
大失人望 大失所望
小家子气 小家子相
情绪 感情
兴高采烈 生龙活虎
徒手空拳 赤手空拳
忙乱 慌乱
沉着 耐心
别出机杼 独出心裁
分散 散发
用心 精心
欣欣然 飘飘然
夹杂 搀杂
牵丝扳藤 牵丝攀藤
摇摇欲倒 风雨飘摇
熟习 熟悉
孜孜不已 孜孜不辍
处之怡然 处之泰然
假充 冒充
知一万毕 触类旁通
心绪 情绪
因小失大 打草惊蛇
营建 营造
土壤 泥土
纠合 聚合
同一 统一
外厉内荏 色厉内荏
强横 粗暴
脚印 脚迹
勉力 鼓励
偏信则暗 偏听偏信
多谋善断 能谋善断
训诫 训诲
泰山压卵 狮子搏兔
箪食瓢饮 陋巷箪瓢
放纵 落拓
声色犬马 花天酒地
窈窕 窈窱
无天无日 没日没夜
万紫千红 花红柳绿
支撑 维持
刚烈 强烈
蠢动 雄飞
工头 领班
适宜 适当
残酷 狠毒
收之桑榆 焉知非福
刚好 恰巧
标新立异 矜奇立异
劣势 颓势
批评 评论
令人发指 怒气冲冲
中止 停留
宽慰 快慰
熟习 练习
才高八斗 满腹经纶
丹成相许 沥胆披肝
催促 敦促
腊肠 香肠
转弯抹角 闪烁其词
兵戈 战争
金镳玉络 金镳玉辔
振聋发聩 震耳欲聋
含英咀华 含菁咀华
除旧更新 革故鼎新
修正 改正
交集 慌张
代替 接替
操演 演习
明镜高悬 秦镜高悬
景色 风光
隔断 隔绝
弘愿 雄心
刹那 片刻
名垂千古 名垂青史
恶意 黑心
泾渭分明 黑白分明
宫殿 宫阙
信札 尺牍
良师诤友 莫逆之交
一团和气 和蔼可亲
鬼头滑脑 鬼头鬼脑
困难 清贫
闻明 驰名
山清水秀 绿水青山
制服 礼服
住所 室第
匆忙 急忙
距离 隔绝
作壁上观 隔岸观火
粗俗浅薄 鄙俚浅陋
入口 进口
热闹 荣华
盘诘 盘问
光明正大 正大光明
 刚强有力 铿锵有力
关切 关注
扭转 盘旋
刻木为吏 削木为吏
雕虫小技 雕虫薄技
走避 躲藏
自身难保 自顾不暇
接二连三 连三并四
流离失所 流离转徙
推波助浪 推波助澜
山穷水尽 走投无路
鹿死谁手 龙争虎斗
备受瞩目 惹人注目
怀愁 抱恨
闪灼 闪烁
全力以赴 尽心尽力
伟岸 魁岸
口含天宪 口衔天宪
再生父母 恩同再造
处决 处斩
歪缠 瞎闹
深入 深化
大白 流露
狼狈不堪 落荒而逃
胡说乱道 胡说白道
附耳低言 附耳密谈
得偿所愿 心满意足
席不暇暖 应接不暇
忽然 猛然
一向 一贯
不足为奇 屡见不鲜
强中更有强中手 恶人更有恶人磨
可人 可爱
分斤掰两 分金掰两
抢夺 洗劫
有心 蓄谋
脸蛋 面容
焦虑 着急
了却 完了
悦耳 顺耳
完好 完满
灵敏 聪慧
民风 风俗
弄巧成拙 歪打正着
呼幺喝六 盛气凌人
做事 处事
缄口无言 缄口结舌
淡泊 轻淡
尽管 尽量
守候 等候
尽善尽美 精美绝伦
疑义 疑难
义正辞严 振振有词
安适 恬逸
实习 练习
雕虫小技 雕虫篆刻
懒散 荒疏
言归正传 闲话少说
书生 文人
出言不逊 口出不逊
登时 立地
负嵎 负隅
下劣 轻贱
搜索枯肠 搜肠刮肚
春冰虎尾 虎尾春冰
接应不暇 目不暇给
失望 没趣
地痞 流氓
好久 很久
将心比心 将胸比肚
伎俩 本领
申谢 致谢
完全 完备
舐犊之爱 舐犊之私
怨恨 懊恼
兴味 趣味
打定 预备
凶残 阴毒
心如刀绞 心如刀锉
名高引谤 树大招风
教悔 训诲
一刀两断 难解难分
荟萃 集中
朝三暮四 朝秦暮楚
判袂 辞别
炳如日星 炳若日星
自作自受 自讨没趣
恐怖 恐慌
其实难副 徒有虚名
救苦救难 普渡众生
汽锅 锅炉
常日 日常
云谲风诡 风云变幻
不堪入目 伤风败俗
兴办 建设
罗列 胪列
光明 晴朗
一会儿 一忽儿
旺盛 繁荣
出口成章 唾地成文
坐薪尝胆 坐薪悬胆
相像 相同
困心横虑 困心衡虑
如今 而今
南柯一梦 黄粱一梦
激进 进犯
掉以轻心 麻痹大意
恐忧 惶恐
掩饰 粉饰
一贫如洗 家徒四壁
斩钉截铁 斩钢截铁
感染 感触
耳目一新 面目一新
天下太平 太平盛世
奉承 媚谄
存心 蓄意
忖思 思量
早为之所 防患未然
安稳 稳当
哀求 央求
申斥 责备
老实 陈恳
掩饰 遮挡
变幻无常 变幻莫测
将来 来日
粗野 粗鲁
信口雌黄 妄下雌黄
大煞风景 清泉濯足
绝处逢生 起死回生
投机倒把 投机取巧
校阅 订正
劝告 规劝
恐怕 畏惧
愧汗怍人 无地自容
委靡不振 颜色枯槁
气象 现象
名过其实 名高难副
告知 示知
洞穿 穿破
终于 终归
回山倒海 排山倒海
小心 防备
布衣蔬食 粗茶淡饭
生分 生疏
数见不鲜 无独有偶
瞎子 瞽者
帷幕不修 帷箔不修
封妻荫子 拔宅飞升
摆脱 离开
孤军作战 孤立无援
傲岸 高傲
穷乡僻壤 纵横交叉
死板 迟钝
赌博 赌钱
斗嘴 辩论
匍匐 蒲伏
懦弱 虚弱
反老还童 返老还童
峻峭 嵬峨
发疯 癫狂
扩大 扩展
生动 鲜活
嵬目鸿耳 嵬眼澒耳
当初 早先
老实 老诚
整理 清理
王孙贵戚 皇亲国戚
忙绿 辛劳
剃发 剃头
议和 谈判
他杀 谋杀
到达 来到
心灰意冷 心灰意懒
惹火烧身 自取灭亡
干练 精明
奢想 奢望
雪泥鸿爪 飞鸿雪爪
一息尚存 气息奄奄
界线 规模
山河表里 表里山河
号召 招呼
谮媚 陷害
时和岁丰 时和年丰
屏绝 隔绝
出售 发售
假话 妄言
涓滴不漏 滴水不漏
委实 实在
古里古怪 阴阳怪气
盛行 通行
知遇之恩 知遇之感
凌晨 破晓
其貌不扬 獐头鼠目
唾弃 遗弃
言不尽意 言外之意
弁急 紧急
月事 月信
含糊其词 转弯抹角
失魂落魄 惊慌失措
安适 安静
减速 放慢
声威 威望
口是心非 心口不一
快速 迅疾
似乎 相似
凝视 疑望
识别 鉴别
凝听 聆听
充满 满盈
增加 扩大
梧鼠之技 梧鼠五技
优异 优良
含英咀华 生吞活剥
众矢之的 集矢之的
出生入死 历尽艰险
大煞风景 背山起楼
怯弱 胆怯
怯弱 胆小
精细 细致
发掘 挖掘
分裂 离散
龟鹤之年 龟龄鹤算
候选 遴选
纠纷 胶葛
善始善终 好来好去
目光 眼神
坚持不懈 矢志不渝
官运亨通 步步高升
不合时宜 不通时宜
离席 退席
名正言顺 正正当当
摆设 部署
怀愁 饮恨
悬念 牵记
周到 细致
大气磅礴 气壮山河
优孟衣冠 鹦鹉学舌
安闲 恬逸
改过自新 放下屠刀
司空见惯 家常便饭
比量齐观 等量齐观
打击 阻碍
单纯 简陋
了解 理解
慢慢 缓慢
鸲鹆学舌 鹦鹉学舌
安慰 慰藉
粗犷 鲁莽
南面称孤 南面称王
惹火烧身 自取毁灭
漏洞 破绽
去伪存真 去粗取精
坚韧不拔 天长地久
层序分明 有条不紊
察察为明 察察而明
乔装打扮 改头换面
荒淫无度 酒池肉林
息交绝游 杜门却扫
奉还 送还
斯须 转瞬
促进 股东
回头是岸 悬崖勒马
宽大 宽敞
眉开眼笑 眉飞色舞
储蓄 贮蓄
痕迹 陈迹
前去 前往
积羽沉舟 聚蚊成雷
恬淡无为 清静无为
快心满志 快心遂意
行同陌路 非亲非故
众口铄金 聚蚊成雷
指手划脚 挤眉弄眼
大发雷霆 怒不可遏
急不可待 急不可耐
假使 若是
纯熟 老练
对象 标的
千言万语 滔滔不绝
阴森 阴沉
激情 热情
踞虎盘龙 龙蟠虎踞
走时 走运
风木之悲 风木含悲
寒不择衣 慌不择路
敌视 藐视
光明正大 大公无私成语
小试锋芒 牛刀小试
寻常 广泛
垂青 看重
得益 收货
明亮 豁亮
沉默寡言 讷口少言
凋落 失败
三分鼎足 鼎足之势
巾帼英雄 巾帼须眉
可能 恐怕
言行一致 言行抱一
作对 尴尬
将强 执意
告别 告辞
急不择途 慌不择路
与哭泣 堕泪
信奉 尊奉
效劳 效能
千里姻缘一线牵 千里姻缘使线牵
津润 润泽
年数 年级
豺狼当道 长夜漫漫
一应俱全 无所不有
年灾月厄 年灾月晦
初一 月吉
按照 遵循
将功补过 将功赎罪
存亡 生死
充裕 足够
同舟共济 吴越同舟
隐秘 隐蔽
易于反手 易于反掌
一簧两舌 信口雌黄
厚道 诚挚
以假乱真 似真似假
不相上下 旗鼓相当
冷巷 小巷
声明 说明
扬威曜武 扬武耀威
面目 面貌
探头缩脑 缩头缩脑
全神倾注 全神灌注
前进 行进
呆笨 愚拙
诱惑 诱骗
委屈 憋屈
亏欠 亏空
卧冰哭竹 扇枕温衾
白纸黑字 空口无凭
凡夫 庸人
无地自容 汗颜无地
浮光掠影 走马看花
猖狂 跋扈
坐卧不宁 如坐针毡
一掷千金 一掷百万
西颦东效 邯郸学步
安顿 铺排
多次 屡次
食不充饥 食不果腹
推托 退却
充塞 充实
无价之宝 牛溲马勃
种别 类别
不名一钱 囊空如洗
图为不轨 图作不轨
只见树木 目光短浅
奇花异草 瑶草奇花
阻滞 障碍
头重脚轻 有条有理
书记 文告
宽大 宽恕
直眉睖眼 直眉瞪眼
扯后腿 捣乱
规模 领域
含糊不清 暧昧不明
清宴 清晏
奏效 成效
惊惶失措 惊慌失措
充实 充满
众目昭彰 众目睽睽
水泄不通 熙熙攘攘
身价百倍 高人一筹
寸心如割 心如刀割
的确 确实
优秀 先进
别有天地 流连忘返
囊空如洗 阮囊羞涩
成列 摆列
宠爱 恩宠
扫兴 灰心
事过境迁 彼一时,此一时
距离 间隔
平常 通常
印象 记念
标志 象征
逢凶化吉 遇难成祥
激昂 高昂
称心 舒服
从前 当年
纤悉无遗 语焉不详
安好 安定
创议 提议
夫妻 妻子
名山大川 洞天福地
理之当然 理所当然
化为乌有 灰飞烟灭
变动 更改
照拂 照顾
凌虐 欺凌
叱责 喝斥
回文织锦 织锦回文
方驾齐驱 齐驱并驾
苦衷 隐衷
范畴 领域
心境 心情
天堑长江 长江天堑
卓乎不群 鹤立鸡群
叱咤风云 气吞山河
万箭攒心 心如刀绞
一丝不苟 不苟言笑
群魔乱舞 胡作非为
压制 欺压
稳健 稳妥
征服 驯顺
南征北战 戎马倥偬
天衣无缝 浑然一体
决裂 对立
无可奈何 独木难支
冷眼旁观 冷若冰霜
情切 热心
勾搭 勾通
发轫 起头
不三不四 半间不界
蓄志 蓄谋
碧血丹心 赤胆忠心
团体 整体
惊愕 慌张
支支吾吾 期期艾艾
飞沙走砾 飞砂扬砾
治理 管制
安插 布置
偏见 成见
挨肩搭背 挨肩擦脸
干休 干修
安好 安详
僵持 对持
伶俐 灵活
辽远 迢遥
推陈出新 标奇立异
休戚相关 风雨同舟
一鳞半瓜 支离破碎
万寿无疆 长生不老
减色 逊色
冷若冰霜 若无其事
自傲 自大
开诚布公 待人以诚
心明眼亮 眼明手快
分裂 松散
希望 志愿
彻上彻下 彻头彻尾
哀怜 爱怜
勾引 巴结
迎阿 阿谀
奇珍异宝 希世之珍
刻毒 刻薄
对持 相持
严密 严谨
根深柢固 积重难返
好似 恰似
发现 察觉
任重道远 全力以赴
承袭 袭取
坚苦 艰苦
一忽儿 转瞬
八面威风 威仪非凡
打饥荒 闹饥荒
阻拦 阻挡
糟蹋 虚耗
切断 割断
事变 事项
宏儒硕学 硕学通儒
没精打采 精神不振
容貌 形貌
鸡飞狗叫 鸡飞狗跳
不知痛痒 麻木不仁
断定 肯定
偷天换日 惹人耳目
凡间 尘寰
德行 揍性
展现 映现
取舍 弃取
承当 负责
弊帚自珍 敝帚自珍
引导 率领
苦思冥想 静思默想
含蓄 费解
吃饭 用饭
衰竭 衰败
忽地 蓦地
接连 连续
临幸 同房
侵犯 进军
剃发 剪发
畸形 荒谬
弓影浮杯 杯弓蛇影
河东狮吼 狮威胜虎
废弃 毁灭
成绩 收获
吃苦 遭罪
旗鼓相当 旗鼓相当
谨慎小心 谨言慎行
摩厉以须 摩砺以须
快意 顺心
争夺 夺取
开诚布公 真心诚意
消亡 消除
三心二意 心猿意马
清高 高傲
好听 悦耳
暗淡 漆黑
一诺千金 言而有信
凄凉 孤寂
差错 缺点
住持 方丈
奋斗 战争
奇丽 绮丽
孤陋寡闻 目光如豆
息灭 歼灭
铸木镂冰 镂冰炊砾
粗浅 肤浅
精雕细刻 错彩镂金
分离 辨别
坚实 巩固
临蓐 分娩
样板 榜样
侵犯 骚扰
均衡 平衡
慢条斯理 蜗行牛步
眼中钉 肉中刺
特地 非常
持之以恒 细水长流
一成不变 食古不化
有益 用意
培植 种植
商量 计划
履行 施行
急忙 迅速
喜形于色 喜怒无常
发表 颁发
弥漫 满盈
取舍 选择
波折 阻扰
先天 天资
胼手胝足 胼胝手足
阿意取容 阿谀逢迎
头脑 思想
卑躬屈膝 奴颜媚骨
投奔 投靠
一叶障目 不见泰山
松驰 缓和
品茗 饮茶
阻止 阻遏
智谋过人 足智多谋
放浪 狂放
杜门不出 韫匵藏珠
别出心裁 独出新裁
败露 透露
夜长梦多 朝令夕改
大略 简陋
瞬间 霎时
东施效颦 邯郸学步
办法 形式
地主 田主
开除 除名
吉光片羽 零光片羽
熙熙攘攘 纷至杳来
忧心忡忡 愁眉锁眼
结尾 结果
大白 清晰
抨击 进击
飘动 飘荡
寄存 寄放
摊开 铺开
日久岁深 日久年深
图利 渔利
不错 可以
抗尘走俗 跋山涉水
夜雨对床 对床夜雨
筹划 筹画
声响 声气
枕戈坐甲 枕戈披甲
否极泰来 柳暗花明
均匀 平均
宵衣旰食 日理万机
杀青 达成
帐然 怜惜
失掉 耗损
凶人 恶徒
大人先生 大人君子
高下其手 高下在手
公开 公示
鱼游釜中 鱼游釜底
毁谤 诋毁
裕如 阔气
噩耗 死讯
惊诧 诧异
完结 竣事
揭发 揭露
效率 服从
冷若冰霜 凛若冰霜
冷笑 奸笑
亭亭玉立 风仪玉立
宽阔 广阔
前卫 时尚
仆仆风尘 到处奔走
夷犹 犹豫
慷慨激昂 激昂慷慨
奸狡 奸诈
喜气洋洋 欢欣鼓舞
召集 纠集
吟唱 赞扬
喜悦 忻悦
赶紧 马上
为人作嫁 徒劳无益
监管 禁锢
利用 诳骗
时令 节令
别树一帜 独辟蹊径
调集 集结
习惯 民俗
习惯 习气
艰难 贫苦
傲慢 骄傲
丰衣足食 小康之家
落井下石 趁火打劫
朴实 质朴
克己奉公 舍己为公
竣工 落成
失察 失计
勤劳 勤奋
分离 辞别
大半 泰半
形式 款式
一掷千金 一掷巨万
兜揽 招徕
云烟过眼 过眼烟云
殃及池鱼 池鱼之殃
不骄不躁 谦虚谨慎
排挤 消除
无以复加 登峰造极
贫乏 贫困
不祥 省略
摈除 驱逐
联合 说合
肃除 铲除
热情 热沈
具体 整体
乡里 故乡
戏弄 揶揄
纨绔子弟 膏粱年少
刁滑 奸险
保卫 维持
回避 躲避
克日 期限
属下 治下
出路 前途
接踵而来 车水马龙
中伤 诽谤
精致无比 高雅
博大精深 学富五车
偏心 偏疼
贯通 领路
予以 给予
攀今吊古 攀今掉古
万不得已 迫不得已
系念 缅怀
朴拙 真挚
效力 效劳
今生 此生
旗号 旗子
乐此不疲 沉迷不醒
奇迹 行状
一丝 一点
侵掠 劫掠
主圣臣良 主明臣直
生财之道 生财有道
包罗万象 无所不包
炫夸 炫耀
饮水知源 饮水辨源
轻蔑 鄙薄
扳连 牵涉
三心二意 意志不定
旁门左道 鸡鸣狗盗
惊恐万状 瞠目而视
凤毛麟角 寥若星辰
兰艾同焚 玉石同烬
充实 饱满
明天 来日
焦炙 焦虑
硕大 肥大
活龙活现 生龙活虎
别出心裁 标新立异
惹草拈花 惹草沾花
凭单 笔据
光怪陆离 千奇百怪
清莹竹马 青梅竹马
牝鸡司晨 牝鸡晨鸣
企求 苦求
腐烂 腐臭
打赌 赌钱
书院 黉舍
按例 照旧
农村 屯子
俊美 瑰丽
守口如瓶 避而不谈
寂寞 沉寂
豪情壮志 雄心壮志
治罪 科罪
标识 记号
宦官 阉人
幸福 甜蜜
窒息 阻塞
接连不断 此起彼落
事业 事迹
注意 留心
缺点 过失
浓艳 花哨
欢呼 欢跃
不可终日 惊恐万状
阻止 阻滞
柔嫩 柔软
佛头着粪 佛头著粪
拨云撩雨 拨雨撩云
开阔天空 无边无际
一掷千金 慷慨解囊
冲动 激昂
立地书橱 著脚书楼
恬逸 舒服
剩余 残剩
惊惧 惶恐
股栗 颤栗
一应俱全 包罗万象
五脏六腑 五藏六府
一语双关 指桑骂槐
独立国 自主国
探寻 搜索
坚持不懈 屡败屡战
泣不成声 泣如雨下
思 想念
吸收 接收
寻短见 自戕
一伙 猜疑
导致 引起
梓里 闾阎
酒肉兄弟 酒肉朋友
决策 计划
一下子 转瞬
十拏九稳 轻而易举
打算 贪图
糟踏 践踏
赞美 赞许
歧路亡羊 误入歧途
水灵 鲜活
中馈乏人 中馈犹虚
目不斜视 目不转睛
万头攒动 人头攒动
探求 搜索
捕风捉影 空穴来风
公正 刚正
丰姿绰约 丰神绰约
今后 从此
评头品足 评头论足
密友 知己
下坂走丸 坂上走丸
交口称赞 口碑载道
顽皮赖肉 顽皮赖骨
卖官贩爵 卖官鬻爵
崇尚 推崇
寻根究底 搜根剔齿
不稼不穑 五谷不分
交情 友爱
发呆 发愣
摆布 操纵
无可救药 病入膏肓
既成事实 木已成舟
养分 营养
一般 通常
心高气傲 自以为是
违抗 违背
伶牙俐齿 能言巧辩
思量 推敲
不屈不挠 百折不挠
暗渡陈仓 移花接木
分裂 瓦解
低洼 高峻
合二为一 合而为一
虞渊 隅谷
一知半解 浮光掠影
刺探 密查
一心 专心
歼灭 肃清
垂涎三尺 野心勃勃
凭据 证据
泛动 荡漾
似水如鱼 如鱼似水
凶狠貌 恶狠狠
锄奸 除奸
安宁 自在
嘲弄 揶揄
气魄 魄力
百折不挠 绝不屈服
宽仁 慈悲
全身 混身
当年 往时
信而有征 信而有徵
责备 责问
春回大地 春暖花开
夫唱妇随 比翼双飞
舞文弄墨 舞词弄札
五行俱下 五行并下
除名 革职
执迷不悟 死不悔改
仙葩 奇葩
旷世难逢 昙花一现
影踪 足迹
标新立异 独树一帜
累块积苏 累苏积块
就事论事 避实就虚
致意 致敬
劳绩 成效
任意 随心
漫骂 诋毁
一无可取 百孔千疮
熟练 纯熟
伴侣 同伴
自作自受 自取其咎
垂问 顾问
精美 精良
与世无争 束身自好
纯洁 结拜
八面后珑 八面见光
和睦 融洽
危急 紧张
勇往直前 重张旗鼓
危如累卵 累卵之危
按次 挨次
耿耿于心 耿耿在心
含冤莫白 抱恨终天
爽利 爽脆
充足 富足
努力 勤苦
圮绝 拒绝
公约 契约
沉溺 陶醉
哀伤 悲哀
三头六臂 神通广大
伫立 鹄立
同等 等同
每下愈况 每况愈下
升空 起飞
九死一生 死里求生
寸步难行 左右为难
火药 炸药
方向 标的
十恶不赦 罪大恶极
鱼鲁帝虎 鲁鱼帝虎
羞辱 耻辱
元气心灵 精力
窘迫 贫困
搬迁 莺迁
垦切 老实
自命不凡 趾高气扬
充实 充沛
悲恸欲绝 悲痛欲绝
卧薪尝胆 坐薪尝胆
哀吊 哀悼
相机行事 量体裁衣
保重 珍重
礼仪 礼节
短兵相接 赤膊上阵
变动 变更
熟悉 谙习
妙计 空城计中
燕瘦环肥 环肥燕瘦
协商 咨议
增加 扩张
万古流芳 流传千古
平宁 沉着冷静
料峭春寒 春寒料峭
扯谈 胡诌
远井不解近渴 远水不解近渴
动身 解缆
僻静 宁静
仿制 仿效
敏捷 飞快
不足为奇 难能可贵
注意 预防
忽略 轻视
布匹 布疋
已而 须臾
名山大川 名山胜水
敷陈 陈说
梁上君子 鼠窃狗盗
云蒸霞蔚 五彩缤纷
信服 敬佩
三分鼎足 三足鼎立
歧视 鄙夷
超出 超过
说短道长 说长论短
骄兵必败 骄者必败
绵薄 菲薄
腐败 蜕化
全体 全部
凋敝 萧条
洋洋自得 自得其乐
凶徒 奸人
志气 愿望
深沟壁垒 深沟高垒
充分 充溢
傲岸 娇傲
低吟 默读
企足而待 企踵可待
丑态百出 出乖露丑
言不尽意 词不达意
功夫 工夫
刻意 特意
分担 分摊
不攻自破 岂有此理
不时 时时
然糠照薪 然糠自照
自命不凡 自视甚高
势在必行 大势所趋
出处 起源
传播 撒播
垂帘听政 牝鸡司晨
仍旧 依然
冷丝丝 凉飕飕
伸张 扩充
康乐 愉逸
屈服 投降
力争上游 知难而进
充沛 饱满
半真半假 故作姿态
牵肠挂肚 耿耿于怀
分袂 分辩
倩丽 瑰丽
照管 顾问
优秀 优越
精美 精致无比
协商 谈判
咨牙俫嘴 龇牙咧嘴
扫地以尽 扫地出门
应付自如 游刃有余
企望 期望
号令 号召
污辱 耻辱
似懂非懂 半懂不懂
殚思极虑 殚精竭虑
挑剔 评述
少不更事 年幼无知
死中求生 绝处逢生
书香世家 书香门第
漂荡 飘荡
散开 涣散
大白 懂得
二缶钟惑 二缶锺惑
寻根拔树 拔树寻根
严峻 严肃
居住 栖身
废除 排除
可见一斑 见微知著
揠苗助长 断鹤续凫
不顾一切 不顾死活
废除 拔除
凶手 凶犯
疏解 讲解
末端 终端
操练 演习
后代 昆裔
躲债 避债
枯树新芽 绝处逢生
浑浊 混淆
推卸 推绝
匆忙 急急
不休 不断
强迫 抑制
五行俱下 十行俱下
研究 磋商
执笔 援笔
兼并 合并
病病歪歪 病病殃殃
困难 穷困
宇量 胸襟
有声有色 绘声绘色
油滑 狡滑
穷源溯流 穷源竟委
体谅 体贴
一知半解 似懂非懂
个性 天性
匮乏 单调
安如泰山 安如磐石
兴隆 繁荣
传说 外传
斗媚争妍 斗艳争芳
容貌 式样
盛大 雄伟
一人得道，鸡犬升天 一人飞升，鸡犬升天
遨游 飞行
季子囊空 阮囊羞涩
餐风咽露 餐风饮露
名标青史 永垂不朽
联想 设想
策画 设计
智慧 聪慧
分析 分解
挨肩叠背 挨肩擦背
如狼似虎 穷凶极恶
圈套 陷阱
借口 借端
仰赖 依赖
当即 理科
光线 光辉
撮合 组合
叹气 嗟叹
批评 攻讦
洋囝囝 洋娃娃
发人深省 浪子回头
不敢问津 因循守旧
咬紧牙关 咬起牙关
复盆难照 覆盆之冤
徘徊 踌躇
拜望 访问
是非 詈骂
含苞欲放 豆蔻年华
倡导 创议
使性掼气 使性谤气
微细 渺小
浓厚 浓密
浅易 简单
相似 肖似
角逐 逐鹿
探望 访问
摇席破坐 摇席破座
拘束 约束
千钧一发 死里逃生
悬念 牵挂
公卿大臣 土豪劣绅
单刀直入 开门见山
结余 赢余
指日可待 计日而待
州官 州长
作恶多端 罄竹难书
任务 职责
假人辞色 假以辞色
居心叵测 鬼蜮伎俩
放任 纵容
共计 合计
刚正不阿 守正不阿
样本 榜样
蜚短流长 飞短流长
否极泰来 苦尽甘来
刻画 描画
体味 体认
操办 筹办
干枯 枯干
抵死谩生 绞尽脑汁
伶牙俐齿 聪明伶俐
坚忍不拔 坚韧不拔
不可偻指 车载斗量
疏远 疏间
体谅 谅解
死而不僵 百足不僵
刷洗 洗刷
珠圆玉润 飞泉鸣玉
敲竹杠 敲诈勒索
主宰 主管
明火执仗 行所无忌
更变 更改
暗礁险滩 艰难险阻
唇揭齿寒 巢毁卵破
弥漫 泛滥
竹简 简牍
应答如响 应答如流
兴亡 掘起
服理 顺从
怪罪 见怪
伪币 伪钞
按兵不动 按兵束甲
疲倦 疲钝
断袖之癖 断袖余桃
安乐 愉逸
运筹决胜 运筹帷幄
即刻 立即
喜形于色 喜形于颜
燕昭好马 燕骏千金
招待 理财
时移俗易 翻天覆地
润湿 湿润
体味 体验
兴师 出兵
暂时 片刻
兴致勃勃 兴高采烈
抓耳挠腮 无可如何
全新 崭新
也许 或者
拒绝 谢绝
聪惠 聪颖
傅粉施朱 涂脂抹粉
为者常成 人定胜天
恐忧 惊慌
抱歉 致歉
卖弄 炫耀
辞让 退却
屏气凝神 诚心诚意
东施效颦 画虎类犬
一往直前 奋不顾身
劳燕分飞 风流云散
抛弃 摈弃
山盟海誓 誓山盟海
亲昵 靠近
世界 寰球
开头 起原
主见 观点
树敌 结怨
在世 活着
战栗失箸 闻雷失箸
可是 然而
哀鸿遍野 饿蜉载道
伯仲 昆玉
诚挚 针织
徙薪曲突 曲突徙薪
大家风范 大将风度
名副其实 愧不敢当
一泻万里 一泻百里
容光焕发 脑满肠肥
很是 相当
金印紫绶 金章紫绶
偏僻 僻静
声势浩大 气壮山河
妨碍 碍事
篆刻 镌刻
健壮 振兴
汗牛充栋 浩如烟海
内行 里手
狼餐虎咽 狼餐虎噬
遗民 难民
考核 调查
注释 诠释
岌岌可危 险象环生
鼎足三分 鼎足而三
细腻 致密
创始 开创
小型 袖珍
告急 求援
境况 环境
将功补过 将错就错
明见万里 明鉴万里
坚决 顽强
作废 取缔
凶暴 戾气
时不可失 机不可失
无知 蒙昧
才华横溢 才华盖世
大年夜 年夜
碰头 见面
回答 答复
心中无数 胸中无数
惊涛骇浪 鲸波鼍浪
堆集 积累
岌岌可危 死里逃生
吟唱 赞美
安祥 平静
含混 朦胧
介意 在乎
安宁 稳定
充任 充当
推辞 谢却
垄断 操纵
承担 经受
煮豆燃萁 相煎太急
称颂 陈赞
大公无私 大公至正
往返 来回
执迷不悟 至死不悟
富足 富饶
怅惘 惘然
允文允武 文武兼备
脚踏实地 踏踏实实
头前 头里
教导 训诫
积储 蓄积
窥察 考察
打消 撤除
杀一儆百 歼一警百
以义割恩 倒戈一击
责备 责骂
期望 盼愿
挑拨 教唆
阻挠 阻挡
隔靴抓痒 隔靴搔痒
八面威风 抬头挺胸
听从 尊从
