击 拍
打盹儿 点头
提 提到
纽 纽伦堡
笔 笔画
任凭 无
捐赠 献
天下 宇宙
机会 隙
啃 食
作 建造
摆 放
名列 排
蒙 骗
土 地面
全 完全
材 资
一家 阖家
病症 症
称 谓
恒星 星
荡 骚
即使 纵使
未必 说不定
宿 迈
受 接受
不可以 不容
主办 主办人
接连 搭
拦截 阻
不良 恶
悬 系
去 过去
台 台大
仿 仿照
工 长于
心 意
撑竿 篙
漏 遗
派对 趴
抬 抬杠
打 打坐
念 系
惊 畏
孰料 岂料
真 真书
存 收入
刚刚 顷
疏 通
瘦 饿
很 超
减弱 降低
我 阮
作 处理
清 满
存 生
提及 提起
破 释
控制 柄
摸 清楚
特 非常
宰 杀
家 流派
女子 女性
即令 纵
记 记得
困难 苦
建 成
建立 筑
挟 浑
刑 干
回纥 回鹘
摇 摇奖
相 选择
拥有 有
聘 聘任
使 命
公共关系 公关
吊 系
压 压力
承认 认
奸 强暴
负 辜负
金 金钱
宿 老
逆 预
落 跌
安 那里
回 回去
火 烧
高 高市
多多 许许多多
愈发 越发
占有 据
煞是 绝
日 日子
临 邻
拢 接近
对 待
住房 家园
浅 轻
炙 盛
捏 掰
上升 增高
壳 屋
狠 辣
搞不好 说不定
这么 这样子
一些 点点
眼 见
会聚 凑
刻 镌
尚 隆
澳 澳门
开 开始
互动式 交谈式
出口 输
印 盖
倘若 假若
仍 凭
等级 级
炸 爆发
不但 不只
去除 驱
太太 妻子
展 展示
壳 房舍
弹 蹦
不错 嘉
个人 在下
教室 课堂
溶化 销
虚 衰
按 根据
机 机器
出 源于
恭 粪
西式 西方
善 善于
作 杀
接 跟
普通 普遍
冉 缓慢
掘 究
形 见
体 基层
中 当中
女 女性
亏 贴
厨房 厨房
央 央求
势 必定
暖 热
沈 驼
料 材料
棒 闪
入 成为
探 试
爸 爹
暴 盛
构 盖
学 学历
宗教 教
住房 家
度 涉
涉 渡
拉 拢
原料 材
待 等
落 降
多 许许多多
打 打躬
凿 挖掘
布 布希
充 充当
刨 挫
惊 惧
一味 一昧
偏 偏僻
点头 盹
一定 铁定
厉害 神
原 原本
功 功力
岔 打
夷 安
到底 究
腐坏 腐朽
偏远 穷
亲 啵
在下 阿拉
仙人跳 跳
迫 逼
番石榴 芭
什 啥
居然 竟然
意 谓
级 阶
伦 伦理
扬 涨
假如 若
爆 盛
到家 爆
久 漫
时期 期间
许多 诸多
延平郡王 郑成功
友人 朋友
填 填满
净 尽
顿 马上
脱 设若
请教 请问
之间 间
放出 放出来
死 煞
凭借 靠
令 使
相当 适当
善 长
迈 进步
织 钩
劣 逊
后唐 唐
窑 窑子
晃 逛
死掉 过去
以 就
心 肚子
北市 台北
观 道观
隐 隐居
原因 导因
仪 仪器
兰 兰州
不顾 晾
转变为 转变成
找 觅
检查 看看
增加 添
后 后方
境 天下
互相 相
义 意义
延 延期
势 肯定
趴 追求
假使 要
岬角 角
牺牲 祭
挖出来 掘
动 变动
夹 混
很 贼
原谅 贷
暴 煞是
择 选择
减 省
受潮 潮
好比说 比方说
套 招
不可 不可以
供 养
爸 爸爸
特别 狠
备至 毙
就 走到
妨碍 阻止
塌 瘫
发 发行
浮游 游行
喻 打
过 通过
父 爸爸
投入 费
兴奋 热
愚 阿拉
一定 特定
赶 追赶
以致 以致于
吊 挂
抵 相当
莲 莲花
趴 追
则 规则
编成 编组
笼 蒙
以迄 迄至
差 逊
啃 进
吧 罢
懂 晓得
受制 受限于
时时 随时
强 牛
肥胖 肿
光 单单
旋 随后
含 涵盖
望 盼望
倘 如果说
予 本人
经 经过
逼迫 驱
会聚 聚
丽 美
有一点儿 有点
出自 来自于
就 据
凑 聚
口操 操
名 名声
异国 进口
归 归属
积累 累积
刚刚 新
生活 过
时 时间
望 朝
位 席
极了 绝
使 让
之至 煞是
雄 高
不用 免
埋 赖
亡 离去
律 法
台大 台湾大学
流 流动
塞 衰
奇 超级
搁 放
打 挖
妈祖 妈祖婆
摘 撷取
弱 过往
狠狠 臭
愈加 越发
期盼 盼望
便 赛
啵 香
现时 现１
具 拿
周 礼拜
后面 背
女子 女生
容 容许
花费 花钱
观自在 观音
取胜 胜
之中 当中
大概 大约
开 拓
中国国民党 国民党
想 欲
等同 等同于
凑 群聚
贩卖 销
关 管
一同 一块儿
娘 母亲
故 是以
傻 痴
泄 走
死 绝顶
建立 建设
投 放
那 那么
激１ 特别
乞 乞讨
收入 记得
好朋友 月经
军 戎
想法 意思
河南 豫
咸 皆
而外 除此之外
直 竖
影 隐
其他 残
学说 言
有一点 有一点点
形 露
愈益 益发
派 流
碰 触
沙 沙国
灵 灵活
度过 渡
群聚 聚集
失 熄
使用 投
学生 徒
大自然 自然
金 黄金
一些 一点
咱 我
比目鱼 鲽
玻 玻璃
刚好 恰
地下 地面
不单单 不只
但是 然
年代 时代
现 现在
余 在下
庆 庆祝
留 记住
日人 日本人
作答 回答
极为 煞为
中 中间
刚好 恰好
啖 进
提 杓
形 影
铜 铜牌
精 贼
样板 版
寻求 觅
击 进攻
怀 搂
委托 托
分 分担
大概 怕
忙 急急忙忙
虽 虽说
卡 梗
挟 杂
盛 至极
亲 香
允 公
匮 缺乏
秒 角秒
一点 点点
报 申报
贩售 销售
举 壹
去 毙
公公 寺
使 设
介 好生
匕 调羹
好 密切
小心 谨
妈咪 妈妈
用以 用来
发挥 显
刚 才
忧 操心
处 看
构 造
建筑 建造
才 顷
乱 特别
关 干
部 领
品 等
两 二
从 打
寄予 赋予
捧 捧场
想 想念
命 命令
日 昼
依据 就
浴 浴室
宝 珍
中共 北平
番社 社
北平 华
贷 饶
受到 接受
动 发
一 举
枯 枯竭
针 针灸
年 年纪
咸 咸阳
勉 勤
到家 透
海 海派
这 那
周围 边
到家 极为
关系 性关系
蒙 蒙古
颁 颁给
有如 犹
遗留 遗留下
汇 汇聚
失 失去
可 然
战 战争
提起 谈起
正 纯
怪 贼
若 设若
停 歇
周公 周旦
新 新党
基层 立基
极为 透
柴 柴可夫斯基
犯规 违规
立刻 立即
使 用
打 掘
昨 昨天
放款 贷
时 时候
大海 海
秀 靓
虐 虐待
仅 只不过
成功大学 成大
讲到 谈起
原先 本来
管道 途
蕉 香蕉
威胁 恐吓
减低 掉
冥冥中 冥冥之中
条 路
人 人人
小孩子 幼
劣 孬
但 只不过
北 墨
分外 格外
激 特
盛 绝顶
夹 杂
惟有 祇有
投 投稿
急 急速
动 碰
接连 连
假如说 如果说
匮 缺
精 超级
爆 破
吃下 黑
相对 相对地
本 本钱
啵 打
预料 预期
愈来愈 越来越
如 如果
孔明 诸葛孔明
勉强 强
公众 民
亚 亚细亚洲
不止 不祇
利益 益
亲 吻
避 预防
味全龙 龙
了解到 悟
看病 看看
一样 平
要 要求
使得 容
差不多 相近
以往 而后
击 攻击
汉赵 赵
值 数值
事故 故
西 西班牙文
回来 还
倘 若
挟 捏
如 若
成熟 熟
借 藉著
一 又
好 好不
很 怪
律 法律
立 顿
其他 其余
清 清晰
则 矩
遭 遭遇
义 谓
个别 单
可 大约
爷 爷爷
掌 控制
好 密
挪 灭
深 重
伤感 感伤
打 挂
悉皆 整
下属 属下
以后 以往
明 明明
照 靠
勃 炽
分 划分为
表 证
扯 拉
鼓 鼓掌
一定 必定
凉 前凉
怕 约
流泪 落
暴 炸
观世音 观世音菩萨
崩 砍
所属 部下
独自 私
争 抢
布 遍布
超出 逾
倘 假如
便 方便
保有 占有
个别 独
当作 视作
看看 研究
帅 英俊
抡 选
一定 具体
可 就是
了解 清楚
什么 胡
现在 目前
以迄 降至
环保局 环境保护局
具 均
收 留
到 走到
授 教
入 转变成
拉 遗
利 利润
投入 放
创 建立
国姓爷 延平郡王
捏 编
要 讨
余 其它
夜 宵
讨论 语
四川 蜀
怀 怀念
交 造
放款 贷款
困 睡觉
卢 磨
远距 长程
朝 朝鲜
倘若 果
将军 将军村
东方 东方技术学院
妈 阿妈
弹 腾
率 率领
不过 仅
哈 烧
区域 国
调 调职
跪 跪下
娴熟 熟练
嫌 隙
中正 蒋中正
挖 挖掘
依 根据
岁 年龄
脸色 颜
召 庙
河 河流
托 衬托
厨师 庖
朗 颂
偏偏 可是
残 残障
凭借 秉
去 死
提到 讲到
允许 许
发声 呐
大洋洲 澳
自然 自然科学
势必 必然
观赏 阅
犁 黑
缘 肇始
不要 毋
考 考核
添 饶
群 群育
费 费用
煞为 透
与 及
亢 高
垂 边
拱 环绕
像 有如
技术 术
漂亮 美
断 绝对
讲话 谈话
当下 顿
木兰 花木兰
严格 密
俱 都
上 附身
鄙人 阮
一律 一概
基层 基本
斯 是
有如 若
跃 跃进
刁 挑
山西 晋
数量 量
以为 想
介于 居中
人才 材
赞 颂
会 知道
以内 里头
揉 搓
捏 攥
天 天气
游 游泳
命 性命
好 易
壹 每
提到 谈起
弹舌 打
包容 容
贴 贴纸
题 题目
明星 星
位 处于
云 讲
火 青
作 弄
准 靠
仿照 影
烧 燃
敬 施
使用 花
游 留学
开 裁
歪 污
开 开玩笑
相当 精
准备 预定
随 随便
涌出 涌起
将 要
深 超
印 映照
不便 据
修理 教训
何况 况
只不过 然则
拒 敌
不足 短
苏辙 辙
整治 治
理 甩
经过 过程
瞎 荒唐
揭 爆
做 进行
接连 相继
期望 期盼
时 机
月经 生理
打破 破
危害 有害
去 泯
始 方
凉 后凉
内胆 胆
便是 纵然
大台北 大台北
打 打球
行为 行动
字 配
抉 择
益发 越发
走 逝
传教 传道
转 转送
朝 朝廷
羡慕 艳
灭 灭绝
太阳 阳光
边 首
敝人 鄙人
即使 即便
航 航空
据 证据
仍 靠
偏 重视
斗 比
适 适合
困 睡
南 南部
临 界
志愿 自愿
矩 纪
如 如果说
型 项
对比 比
不行 得很
血 血统
切 割
奥斯卡金像奖 金像奖
哩 英里
吭 喉咙
准备 规画
业经 已然
合 符
仪礼 礼
买 购
储 存档
境地 情形
规划 谋
仔 孩
中 汉
附近 顷
牢 稳
均 拢
新 新兴
候 待
范围 范畴
窝 闷
列 林
望帝 杜鹃
越来越 递
开采 采
承租 租
已 既
到 抵
认清 认清楚
护城河 池
土 地产
秀 美
惟一 独
严格 密切
大概 殆
翻 翻开
买下 购
以后 后
乍 刚
奇 老
势 必然
作为 当成
倘 脱
冷 寒
个性 性
爸 老子
乱 简单
以免 以防
听说 据云
得 获
领 领子
加 搁
父 父亲
措词 言语
存 记住
坐 坐牢
农 农业学校
一点儿 些许
减少 撤
这样 这样子
异常 甚为
惧 禁不起
胜 赛
出嫁 归
宿 陈
广 扩展
辛 辛弃疾
上升 增长
哈萨克 哈萨克共和国
吹 盖
即时 随即
俞 穴位
给与 赋
何等 多么
若是 设
优 嘉
提及 谈起
恶 绝
延平郡王 郑
感恩 谢
显露 露
明白 白
使 命令
晚 晚上
脱 逃
迁 迁移
尽 尽
岁 年
住宿 宿
使出 撒
差距 相去
生态 生态系
下降 降低
安徽 皖
何等 甚
食 饲料
胶片 软片
好 真
脖 项
尔 罢了
己 自己
称 言
且 姑
相比 相较
依 凭
劳改 改造
厅 局
拐 转
得 罹
消失 逝
打 由
值 时值
引以为忧 操心
世界 天下
严峻 深
势必 定
补 补习
圈 圈子
旅游 旅行
三十 卅
不祇 非但
主 大
投入 花费
保 包
仲 弟
碰到 见
弹 跳出
洗 灭绝
交互 相互
摸 解
愚 蠢
便是 的
作 显露
变 转变成
下 落
近 逼
漫 遍布
例 例子
名字 名称
如若 设
量 额
肩 驼
志 记
前面 昨日
纳 缀
主 宏
愚 骗
病毒 脓
些 少许
言语 语
当下 现
使 投
彩 彩色
登 进入
一点 些许
琐碎 碎
系 路
又 而且
明月 月
必 必定
测 量
冲 奋斗
剧 急
清洗 清除
孩子 小孩
打 撑
的 系
字 言
下降 减低
小布希 布
句 句子
敌 防
深 老
提到 提及
习 惯于
切实 实在
今 今年
学 知
拾 捡
可能性 机会
色 项
总是 老是
像 如
干 进行
抟 聚集
浮游 游
父亲 老子
刹 庙
如何 安
泼 浇
临近 傍
势必 稳
意即 意指
腾 蹦
愈趋 益发
暴 死
植 移植
建 建筑
今 现
带 带有
冲 冲帐
视力 视觉
做 打
上升 升级
听讲 据闻
展 展开
华 岛
掌 柄
爸 阿爸
课税 赋
济 渡
变成 转变成
做 就是
呈 显
立 订
亡 死掉
孙中山 孙文
反 背
完成 得
唯一 独
圳 深圳
俺 阮
同 和
品 赏
必然 肯定
扩展 拓
令 小令
因 缘
之至 煞
巧 适
吉 祥
寸 寸口
华 芳
切 千万
社 组织
假如说 果
击 打
时值 际
位 处在
镇 镇压
专擅 长
英 英国
好处 益
劫 打
恐 惊
松 虚
枪 砲
咱 咱家
不经意 无意
介 介绍
依赖 赖
究 究竟
传媒 媒体
依据 案
曰 说
晓得 知
管理 统
桥 调
爸爸 爹地
原有 原来
宁愿 宁肯
借 借由
去除 灭
乱 超级
带 蕴含
快 捷
只 只是
毙 过去
仅只 只
临 遇见
公 爷
捷 败
甚或 连
本人 阿拉
回去 死
熄 除去
王 王金平
王守仁 阳明
采 采用
杀 死
立即 这
经国 蒋经国
再次 覆
精 超
垢 肮脏
曰 称
夕 夜晚
泡 追
圣彼得 彼得
从 由
警察局 警局
成 能
减少 削
企 想要
白 虚
亦即 作
怪 特别
死掉 殁
天空 空
穿 穿越
讲话 说
忘记 遗忘
役 战
己身 自身
这一来 这么一来
经血 血
暂 短
开 开花
个 孤
疏 虚
年 春节
脱 褪
崇拜 礼拜
柳 柳宗元
死 煞为
化妆 画
烧饭 煮
押 拘
仍然 依然
安 那
羽 羽毛球
极了 至极
相 相互
保 持
修正 校正
以 依
中 中阶
本 本来
让 让给
位 数位
显露 见
业 职业
危险 险
差 派遣
本金 本钱
便是 就是说
调 调派
繁 诸多
即 随即
占有 有
乃至于 甚至
纠 纠正
尤 尤其
丧失 失去
假使 脱
挂 群
大韩民国 韩
咱们 阿拉
废 鬼
国民小学 小
这么 那么样
粪 臭
资 钱
听讲 据说
伴 混
到 抵达
引以为忧 担心
祖 祖先
关 关闭
暑 炎
之内 以内
规画 预定
永久 永远
显 显然
无法 难以
循 缘
咬 咬字
牡羊座 白羊座
父亲 阿爸
纪 规
摆 晃
剧 快速
作出 打
宽 松
一家 合家
布 布局
著重 重视
规划 计
乏 缺乏
削 削减
最早 首先
沙 沙乌地阿拉伯
凌 压
下 降水
溶 销
不理不睬 不闻不问
升级 增长
从 雅
中国 华
喜爱 欢喜
如此一来 这样一来
之外 而外
打 排入
奋战 抗争
逐 驱逐
明 清
瞬 转瞬间
咸 拢
不良 孬
发 送
作 是
模范 范
唯独 独独
围起 围起来
对 联
苏 苏俄
向来 雅
以至 到
仅仅 仅只
打算 规划
不但 不啻
拖 拖地
激１ 特
睡 睡觉
剧 戏
害 得
充 充电
劳 累
奇 怪
境 范
乱 破坏
水 靓
美利坚合众国 美国
除去 驱
蒋中正 蒋公
念 意
妈咪 阿妈
笨 蠢
汤匙 调羹
想 意
哪 哪里
排名 排行
乃 即
强 强烈
曰 谓
会 知
吃下去 黑
愿望 梦
惟独 独独
摔 摔倒
行 行礼
依靠 傍
弦 情
克 败
泄 漏
干净 明确
依照 案
客人 客家人
研究所 研究院
禁 胜
憋 紧
特 雄
漂 美丽
传真 电传
文 文章
够 足够
不幸 粪
发出 发声
若是 要是
即 这
素 雅
远路 远道
多 繁
体 本
超越 跨越
作梦 梦
倾 垮台
呼声 声浪
净 空
成 行
之至 至为
毙 过往
全 全然
相当 贼
震 震撼
刻 雕
搭配 配
侧目 注意
明 明白
土 家乡
读 逗
岁 龄
孔融 融
歪 黑
出生 生
当前 现在
愈益 越发
伦常 常
色彩 颜色
之余 外
猪 豚
净 干净
仔 男生
以至 致
之前 过去
粪 鬼
亦即 的
勺 勺子
不容 使不得
乔治．沃克．布希 布
反映 映照
明显 显著
分 割
线 路
不只 不止
中 内部
反倒 反而
南 南港
抱歉 歉意
导因 导致
傻 蠢
深 深度
悬 悬赏
国民身份证 身份证
否 柴
俞 准
知 说
将 帅
曰 称为
仅只 惟有
离去 走
右 右边
迫 驱
有机体 生物
世 天下
余 本人
舞 跳
那么 那样
业 行
娘 新娘
了解到 瞭
送 遗
一再 频
匪 非
写 呈现
令 命令
明显 显
发芽 萌
供 供认
国外 洋
若是 设若
爷 老子
灭绝 熄
籍 籍贯
现 面前
包括 含有
去除 移
小孩 童
擅长 精专
拦 挡
擅长 长于
吓 威胁
打 抠
打盹儿 钓鱼
偶 阮
刨 挖掘
公引 引
仅仅 惟有
坚定 坚硬
绕 转
劝 劝说
害怕 畏
怎么 怎地
顶 顶嘴
使 开
丈夫 婿
对 对联
使 倘
宁可 宁愿
切实 确实
方式 法
乃 系
何 安
得 符
官 政府
阳 阳光
摄 摄取
延 继续
衬 衬托
储存 放
导因 肇始
待 迨
察 烛
假使 假如说
思 意思
弄脏 脏
点头 钓鱼
一块儿 一并
平 相同
傻 矬
抚 界
促 催促
偏 偏好
归属 落
尔 而已
兀 光
专擅 擅于
北韩 韩
恶 煞为
呐 喊
胜 败
有一点儿 有些
下 以下
惹 戳
偷 匀
凭 按
害 患
就 根据
以至 甚至于
保险 险
俊国熊 熊
公告周知 周知
对不起 抱歉
之内 里
狱 监狱
宜 适
依 按
熟练 练
可资 足
乘坐 搭
捆 系
梁 萧梁
在 在于
相继 连续
来源 源头
叫作 曰
不啻 不祇
更形 益发
污 肮脏
煞 盛
后代 裔
作 进行
卖 贩售
看看 观察
寻找 谋
仅 只是
恰恰好 正好
中央研究院 中研院
咱 鄙人
亚洲运动会 亚运会
单 单单
揹 负
叠 重
水 漂
令 叫
赠 赠送
奖 奖励
纽 纽西兰
故 肇始
思 意
总 老
拐 骗
秀 茂
先进 前辈
无声 清
办法 道
标 示
钉 钉子
差不多 类似
直到 迄至
噜 推
当下 立即
很 特
使 教
角 角度
浑 甚为
细 详细
很 老
立 随后
缠住 追
因此 因而
抠 钻
争 怎
拍摄 拍照
出 呈现
花费 资
干净 空
兴趣 趣
完全 成
仿 伪
内部 里面
爷 爹地
男子 男生
低声 悄悄
扫 扫瞄
吸 吸引
处 处理
乐 愉快
轮 轮到
具有 带有
好生 贼
负 遭受
单纯 纯
生 生出来
书 信
帅 正
尝试 试
利息 息
农 农业
搭 配
方 方式
此 这
凭借 照
博物院 博物馆
便 是
忖 想
挖掘 探究
孙中山 孙逸仙
有趣 趣
为啥 胡
具有 有
糟 难过
员 子
也许 或者
倔 强
便是 而
世纪 纪
长程 长途
席 座
合 配合
功 效力
周公 姬旦
奥 深
帝 王
娘 老娘
勤 常常
板 板桥
勿 毋
之前 昨日
浅 稍
几乎 近乎
开刀 手术
尝 尝试
晓 晓以大义
人 人士
派别 路
命 身
快乐 愉快
蒋公 领袖
怕 恐
极 煞是
孙 孙文
去除 熄
学 师范
极了 透
拦 阻
于 到
庄 村
尤 特别
数字 文字
派 路
不用 不要
爱 睡觉
危 危害
全部 整
以下 以降
寻找 觅
丢 掷
妈妈 母亲
医 医师
想 著想
许 许可
总括来说 总而言之
储存 存档
盼 盼望
循 沿
清晰 清清楚楚
原来 本
改变 爰
布 漫
一直 直
悉数 满
种 部门
实 真
仍旧 依然
合 搭
且 又
假如 果
升级 提高
抽 抽球
两造 双方
辙 途
选 钞
和气 易
体 肩
注意到 观察到
官人 官员
休 麦
卡 角色
收 记得
不仅 非但
略 稍许
朋友 知识
代谢 新陈代谢
宵 晚上
俄罗斯 俄罗斯联邦
娃 幼
恐 畏
指 指引
和平 安祥
堂 殿
仅 单单
王 王建民
仍 仍旧
完 终
同事 同仁
叫 唤
淫 荡
任凭 任由
比 比利时
作 呈现
夹 掺
妇 室
线 途径
金钱 钱
秃 钝
游 荡
绝 透
之前 昨
器具 用具
洗 砍
发声 吭
当下 立刻
多 许
棍 棍子
企 想
杂 混
具 有
称为 谓
出租 租
合作 携手
相当 非常
父亲 爸爸
师范 表
胸 腹
元 首
保护 护
乃 亦即
校正 正
回 返
很多 诸多
借由 藉著
妨碍 拦
依然 还
在下 愚
契约 约
极其 极度
焰 空气
吞下 吞下去
好 成
要 设若
牌 筹码
仙 神
入 进入
超级 非常
存 存有
或 或者
多加 多多
提 提起
介 进
低 轻声
来源 源
脸 颜
群 群众
螺旋 螺旋状
中 台湾
加入 进来
对 适
但 然而
列 列出
有 负
发出 表
一些 有些
届 期
希望 欲
伸手 插手
国际 天下
摄 钩
激 起
冠 冠军
怪 狠
差距 距离
人家 鄙人
散 释放
人士 子
领 领取
照 照射
毙 爆
死亡 离去
焚 燃烧
计划 预定
成长 生长
棒 赞
男人 男性
仿佛 似乎
凭 照
完成 成
怀 怀孕
深 特别
处理 解决
基 肩
比方说 譬如说
减少 省
东京 开封
通 通讯
完 闭
染 罹患
禁 禁止
好生 超
益发 越加
以 照
即 就
我人 我们
不免 免不了
元 素
而外 除此以外
偶 阿拉
今天 当下
派 派出
孰料 讵料
响 鸣
业经 既
依 依据
便 便是
数字 数目
哈 哈萨克
丛 林
日 日文
手法 方
嘲 笑
之后 后面
丁 伕
不行 得狠
便是 做
火腿 腿
当前 眼前
透过 通过
写 泛
国 国家
使用 花费
一点儿 点点
立 立刻
敝 破
你 侬
存 收
俺 鄙人
忧 操
吃饭 进餐
沈 跌
愈趋 逾
借由 藉
狠 贼
怒 烈
特征 特色
生物 生物学
不一定 未必
废 废弃物
帝 皇
前言 序
然 然而
介 特
攻击 轰
准 必然
令 旨
叙 记
染 罹
肾 肾脏
仅有 只有
挫 跌
激 老
这 这儿
赞 闪
属下 部属
如 犹
捉 捕
亡 殁
投 投宿
吃下去 挨
配 配合
担心 操
号 庄
恶 杀
乍 甫
差 难过
叫作 称呼
更加 越加
分手 拆
忽 猛
名 名字
何 那
胡 胡牌
佛 佛法
虽 饶
就是说 系
找 谋
人家 咱家
为何 何为
始 开
亦 还是
掌握 操
友好 朋
仔 子
搽 施
拔 泯
合同 合约
乡 家园
毒物 药
表 表达
破 臭
望 盼
生 疏
打电话 挂
均 平均
冬 冬季
几 几乎
定 立
为甚么 胡
赤 赤字
子 棋子
理 经理
为 进行
偷 偷偷
与 与会
持有 有
些许 点点
建 建议
什 胡
方面 面
漫 长久
愁 烦恼
封蔽 隐
姊 姐姐
擅 擅于
制止 止住
但 祇是
必 铁
拍手 鼓
从 素
懂得 晓得
停机 停车
异常 浑
打从 由
藉 藉著
并且 甚且
转赠 转送
留 记得
休 休息
自掏腰包 自费
异常 酷
走 露
旋 马上
漏 走
材 棺材
势 定
从而 因此
结 结为
改变 转变
原先 原本
用处 用途
前 早
提 说到
拔 移
是 此
马 马祖
弱 挂
地面 陆地
李 李子
效 效果
奇怪 异
为什么 怎地
养 喂
兵 戎
写 写成
俄 顿时
搧 摔
显 显著
研 研究院
纵 纵然
里 里面
保存 记下来
出嫁 嫁
出 现
举行 做
平 扁
假若 设若
容貌 貌
找出来 找到
微微 略
款 钱
建立 成
北京 平
可 可以
不 勿
落后 跟不上
土 土地
励 鼓励
因之 所以
卸 驱
溜 绕
有一点 有点儿
冲 挥
拍 拍照
一定 定
界 靠
只 祇不过
今天 当前
垦 开
度 渡过
杓子 调羹
扣 纽
母亲 阿妈
示 表示
何以 因何
和 平
变迁 推移
中 中央
变成 成为
顺路 顺道
期盼 期许
薄 轻
留 记
掐 握
令 教
中共 中国共产党
呐 呼
办 办公
情 情绪
即 是
引 引入
一定 常
入手 得
妙 巧
甩 逃
娃 孩
沙乌地阿拉伯 沙乌地阿拉伯王国
奇怪 怪
咱们 我们
带 接
父 阿爸
一并 相互
源 能源
擅于 精于
兼 兼职
忽 突
泉 钱币
人家 偶
流动 游
归属 归纳
以往 前面
直 直接
回去 挂
煞是 爆
仅 唯有
不过 只
供 招供
采取 采用
比 较
叫作 称做
到家 极了
排 筏
减少 削减
动心价 心动价
帅 闪
明朗 朗
只有 惟独
准 定
些许 有点
无 毋
子 男生
沃１ 灌
超 超出
同意 赞成
做 视作
航 船
开 放
凡 凡是
以降 后
呈现 形
特别 粉
傻 瞎
投 费
围起来 圈
愈益 益形
及时 随即
由衷 衷心
敝人 本人
发 立
电视 电视机
乏 倦
回忆 忆
想 要
发 萌
吓 挫
在于 系
摩托车 机
好多 诸多
聘 聘用
况 打
遍 遍布
输 输出
仔 小孩
爷 爹
新竹 竹
丽 美丽
外国 异国
青 鸦
聊 聊天
水龙头 龙头
扛 肩
进入 进去
志 记得
总是 老
正 纯粹
但是 祇不过
举 悉数
女人 妇
庙 庙宇
接近 逼
学 师
以至于 到
今 目前
接连 衔接
地产 地面
巴 期望
挂 电
阳明 阳明大学
举 勃
炙 热
肯定 铁
妃 婆
丁 丁年
因之 故
增长 增高
带有 浑
啖 食
乃至于 连
教授 正教授
表示 表达
秩序 规
朱 朱熹
大 长
倾 垮
益发 逾
单独 独
星 钻
了 清楚
绝 绝句
女性 女生
导致 致
朗 朗诵
代替 替
看作 看成
材料 资料
些许 有一点
仪 规则
擅于 精专
友好 朋友
励 勉
稻米 米
计算 预定
挑 选择
特性 特质
造 造成
投 用
干 涉
厚 重视
穷 绝
弃置 抛
伴 浑
就 抵
彩色 颜色
才艺 艺
何为 胡
排 排行
欧 欧洲
山羌 羌
打 挖出来
留 留下
抱持 秉
花儿 芳
商 商量
弭 止住
空 隙
照理说 照说
凡 总共
后 过往
叫做 唤
播 播种
冀 思
面目 颜
你 您
假如 如
分别 分头
即 立刻
直 简直
自由 自由式
坏 逊
极为 绝顶
线 路线
贵 雅
不论 无
款 款项
害 得到
暂 浅
好比 譬如
义 价值
照 鉴
堕胎 打下来
没 没有
含 悬
兄弟 兄弟象
掺 预
习惯 惯
一再 再再
川 河流
想要 要
徒 辈
一样 同
出 发泄
合 搭配
掌 操
到时候 届时
拔 挪
冲 向
依 照
列为 列入
不但 不止
徒 生
叩 敲
捣 闹
期许 许
乌 皂
准 照
原 原始
上台 登台
肩负 驼
弹 跳
取 抄
必定 稳
梅 梅树
位 座
含有 掺
流派 路
一向 从
减低 减少
友人 友好
宜 适合
深 蔚
恶 绝顶
出 出去
人家 阮
如何 那里
丘 孔
严重 重度
地 地球
恒 永
频 频率
师范学院 师院
计划 谋
思想 道
孩 孩子
一手 第一手
有些 点
以 案
就是 的
幻 幻想
呜呼 哀哉
下雨 雨
曲 阿
则 纪
卵 睾丸
公推 推
欠缺 缺少
秘 秘鲁
商 秋季
安 那儿
善 擅
为何 何以
急 激
云 说道
死亡 毙
那 那儿
怕 畏
中 中共
瘦 贫
狠 粉
挨 遭
举 浑
布谷 杜鹃
失 泯
不舍 舍不得
男子 男性
代 朝代
歇 歪
脉 血管
守 遵
就是 祇不过
使用 采取
泰雅 泰雅族
华语 汉
去除 撤
奇 深
不可 使不得
后方 后面
损坏 捣
经 透
拦 阻止
名次 排行
鸟 鸟类
规划 预定
以往 后面
川 江
念 读书
林 林业
及至 直至
扣 纽扣
思 系
凭 就
穷 贫
新 新疆
失败 落败
公布 发布
从 自从
奥 鬼
分 区
碰 遇到
薄 近
品 质
泡 趴
容易 易
持 援
不错 良
观世音菩萨 观音
进入 进来
理 理由
嵇 嵇康
昌 鼎盛
版 版面
一心 全心
停 弭
愈益 逾
考虑 考量
住房 房子
回去 返
只不过 祇
万分 非常
奥 粪
后悔 悔
反复 反复无常
那 那里
以前 昨
咬 嚼
毒物 脓
区域 地区
去 洗
教 教育
看见 见
禽 鸟
政大 政治大学
暴 至为
作 现
暖 温暖
戒 防备
加热 烫
呈 见
即令 就是
效 效力
花 花莲
埋 掩埋
况 比
之后 以后
政 政治
上 启
打电话 电
俊 英俊
衣 衫
打从 自
仿佛 肖
伤 伤害
吃 歪
停止 止
星 星加坡
埋 缠住
不过 祇是
完 成
勺子 调羹
写出来 写成
负 遭到
红 赤
扑 投入
老子 道德真经
困 缠
特别 特殊
一点 少许
恶 煞
连 连续
孔 孔丘
准 秉
云 云林
逊 鸟
烛 蜡
